,Country,City,Date,Temperature(F),Cloud Density,Humidity,Wind(MPH),Latitude,Longitude
276,GR,Paralimni,1569105014,62.01,0,67,0.69,40.99,23.67
277,CA,Port Hardy,1569105015,59.0,90,82,18.34,50.7,-127.42
278,CA,Marystown,1569105017,46.13,0,71,9.26,47.17,-55.16
279,PH,Candelaria,1569105018,75.99,100,89,2.82,13.93,121.42
280,BR,Boa Vista,1569104962,91.4,20,46,6.93,2.82,-60.67
281,BR,Rio Grande,1569105020,57.99,0,66,3.36,-32.03,-52.1
282,ZA,Vryburg,1569105021,61.79,0,18,11.1,-26.96,24.73
283,ID,Tual,1569105023,76.73,50,84,11.16,-5.67,132.75
284,GL,Nuuk,1569105024,39.0,98,93,13.0,64.17,-51.74
285,MX,Constitucion,1569104653,78.8,75,31,4.7,23.99,-104.67
286,VU,Luganville,1569105026,80.6,75,54,16.11,-15.51,167.18
287,FO,Klaksvik,1569104657,48.2,0,100,4.7,62.23,-6.59
288,GL,Narsaq,1569105028,39.2,98,93,2.01,60.91,-46.05
289,RU,Staryy Nadym,1569105029,31.91,0,88,10.98,65.61,72.68
290,GF,Cayenne,1569105006,82.4,0,78,11.41,4.94,-52.33
291,ID,Amuntai,1569105032,81.23,87,69,1.7,-2.42,115.25
292,PL,Wegrow,1569105033,48.0,36,52,6.62,52.4,22.02
293,AU,Bundaberg,1569105034,75.0,40,60,10.29,-24.87,152.35
294,NA,Walvis Bay,1569105035,57.99,82,82,3.36,-22.95,14.51
295,PH,Pundaguitan,1569105037,81.05,66,78,5.79,6.37,126.17
296,MN,Bulgan,1569105038,51.71,19,57,2.77,48.81,103.53
297,NZ,Tuatapere,1569105039,55.0,0,74,3.0,-46.13,167.69
298,SD,Marabba,1569105040,79.61,100,73,10.0,12.35,32.18
299,BR,Vilhena,1569105007,73.4,75,94,6.93,-12.74,-60.15
300,BR,Coruripe,1569105043,67.73,4,95,5.82,-10.12,-36.18
301,RU,Bilibino,1569105044,23.81,100,85,3.65,68.06,166.44
302,JP,Hachinohe,1569105045,63.0,75,77,3.36,40.47,141.48
303,SD,Umm Kaddadah,1569105046,82.49,21,55,13.38,13.6,26.69
304,PT,Lagoa,1569105047,70.0,75,100,12.75,37.14,-8.45
305,BR,Mafra,1569105048,48.99,100,98,1.99,-26.12,-49.8
306,ML,Bougouni,1569105050,72.77,17,87,4.05,11.42,-7.49
307,NG,Kaura Namoda,1569105051,79.43,0,62,8.3,12.59,6.58
308,US,Nantucket,1569105052,72.0,1,77,5.82,41.28,-70.1
309,CA,Clyde River,1569105053,32.0,90,97,25.28,70.47,-68.59
310,RU,Terney,1569105055,52.97,6,68,6.17,45.05,136.61
311,NA,Keetmanshoop,1569105056,57.2,33,62,13.87,-26.57,18.15
312,ID,Karangasem,1569105057,76.91,79,62,5.41,-6.7,108.49
313,RU,Saskylakh,1569105058,37.49,66,94,9.28,71.97,114.09
314,RU,Berdigestyakh,1569105059,39.29,100,96,5.46,62.1,126.7
315,RU,Yashkul,1569105061,50.09,9,66,13.51,46.17,45.34
316,BR,Anajatuba,1569105062,77.63,0,78,8.1,-3.26,-44.62
317,CN,Pengcheng,1569105063,67.37,0,50,3.96,36.43,114.17
318,BN,Victoria,1569105025,82.4,75,83,4.7,5.28,115.24
319,BE,Meerhout,1569105065,66.2,0,51,5.82,51.13,5.08
320,RU,Senno,1569105066,48.2,62,87,8.95,57.76,27.95
321,BD,Rajapur,1569105068,80.87,95,81,1.79,22.57,90.14
322,US,Ketchikan,1569104622,57.2,90,93,12.75,55.34,-131.65
323,VN,Dong Xoai,1569104916,73.39,100,97,0.89,11.53,106.92
324,PE,Santiago de Chuco,1569105071,51.17,97,88,2.1,-8.15,-78.17
325,CA,Yarmouth,1569105007,66.0,75,72,6.93,43.84,-66.12
326,UY,Dolores,1569105073,56.39,0,74,4.29,-33.53,-58.22
327,US,Cedar City,1569104411,66.99,1,19,5.82,37.68,-113.06
328,US,Laurel,1569105076,84.99,1,54,8.05,39.1,-76.85
329,ZA,Umkomaas,1569105077,71.01,64,88,9.93,-30.21,30.8
330,NO,Mehamn,1569105078,39.2,75,86,16.11,71.03,27.85
331,RU,Chekhov,1569105079,41.0,90,86,8.95,55.14,37.45
332,US,Kodiak,1569104644,79.0,90,78,18.34,39.95,-94.76
333,AU,Nelson Bay,1569105082,66.0,100,88,6.93,-32.72,152.14
334,DE,Barth,1569105083,51.8,0,100,3.36,54.37,12.73
335,ZA,Springbok,1569105084,49.73,9,95,5.08,-29.67,17.88
336,GW,Bubaque,1569105086,79.79,100,86,14.23,11.28,-15.83
337,LR,Buchanan,1569104568,77.0,75,94,9.98,5.88,-10.05
338,GF,Grand-Santi,1569105088,74.39,61,96,2.82,4.27,-54.38
339,PL,Slawno,1569105089,53.01,0,93,4.7,52.84,16.56
340,US,Fortuna,1569105090,81.0,20,72,14.99,40.6,-124.16
341,RU,Myaundzha,1569105092,35.51,93,88,1.34,63.05,147.18
342,PH,Tagusao,1569105093,80.33,100,71,1.59,9.19,117.81
343,TR,Ercis,1569105094,53.6,20,58,2.24,39.03,43.36
344,KE,Maua,1569105095,49.55,63,80,3.56,0.23,37.94
345,US,Blackfoot,1569105096,62.6,75,33,13.87,43.19,-112.35
346,MU,Grand Gaube,1569105098,69.8,75,77,17.22,-20.01,57.66
347,PY,San Patricio,1569105099,56.75,0,61,7.07,-26.98,-56.83
348,DK,Liseleje,1569105100,50.0,0,100,9.1,56.01,11.96
349,BR,Mozarlandia,1569105101,93.29,77,22,3.96,-14.74,-50.57
350,GF,Sinnamary,1569105103,81.41,0,83,21.65,5.38,-52.96
351,RU,Ekhabi,1569105104,54.23,99,69,7.65,53.51,142.97
352,US,Kenai,1569105105,54.0,90,71,3.36,60.55,-151.26
353,RU,Ust-Nera,1569105106,34.43,78,64,2.44,64.57,143.24
354,BR,Guia Lopes da Laguna,1569105107,79.43,1,34,10.2,-21.46,-56.11
355,ZW,Kwekwe,1569105109,58.37,0,23,5.23,-18.93,29.81
356,RU,Pevek,1569105110,34.43,100,96,14.61,69.7,170.27
357,AU,Mount Gambier,1569105111,42.8,75,93,11.41,-37.83,140.78
358,US,Ukiah,1569105112,93.99,1,14,5.5,39.15,-123.21
359,OM,Nizwa,1569105113,74.39,0,50,1.32,22.93,57.53
360,MY,George Town,1569105115,80.6,75,94,3.36,5.42,100.33
361,JP,Gushikawa,1569105116,80.6,40,88,14.99,26.35,127.87
362,ES,Aras,1569105117,70.0,20,72,5.82,42.56,-2.36
363,EG,Marsa Matruh,1569105118,75.2,40,69,11.41,31.35,27.25
364,RU,Ola,1569105120,46.13,100,86,4.29,59.58,151.3
365,BR,Prainha,1569105121,78.35,47,77,4.03,-1.8,-53.48
366,CL,Coquimbo,1569105122,55.4,0,76,14.99,-29.95,-71.34
367,TR,Gorele,1569105123,59.0,75,67,6.93,41.03,39.0
368,UA,Polyanka,1569105125,54.23,100,71,14.45,50.26,27.69
369,KZ,Zholymbet,1569105126,61.61,90,37,17.18,51.74,71.71
370,US,Vardo,1569105127,88.0,20,42,6.93,39.62,-77.74
371,NC,Noumea,1569104925,75.2,20,47,12.75,-22.28,166.46
372,RU,Kargasok,1569105129,36.77,100,79,5.03,59.06,80.87
373,MX,Cabo San Lucas,1569104866,88.0,75,70,19.46,22.89,-109.91
374,MN,Darhan,1569105132,52.79,33,72,3.94,49.49,105.92
375,CN,Shache,1569105133,66.11,0,22,7.81,38.42,77.24
376,BO,San Matias,1569105134,86.81,3,37,5.21,-16.36,-58.4
377,NG,Lagos,1569104884,77.53,99,89,6.24,6.46,3.39
378,MG,Vangaindrano,1569105136,65.57,94,91,3.47,-23.35,47.6
379,NZ,Balclutha,1569105138,54.0,3,63,4.0,-46.24,169.74
380,CA,Husavik,1569104625,60.01,100,97,16.35,50.56,-96.99
381,MG,Farafangana,1569105140,65.03,100,95,3.65,-22.82,47.83
382,MV,Ugoofaaru,1569105141,83.03,100,78,13.76,5.67,73.0
383,IN,Jagdalpur,1569105142,70.25,6,95,1.07,19.09,82.02
384,AU,Cairns,1569104872,75.0,40,69,11.41,-16.92,145.77
385,US,Susanville,1569104922,66.99,1,37,5.82,40.42,-120.65
386,AR,Bell Ville,1569105146,75.0,0,19,11.01,-32.63,-62.69
387,AR,Puerto Madryn,1569105147,54.41,0,27,10.58,-42.77,-65.04
388,ES,Teguise,1569105148,73.4,20,78,4.7,29.06,-13.56
389,RU,Mayskiy,1569105149,48.2,75,70,9.46,43.63,44.06
390,CN,Baiyin,1569105151,41.0,0,93,4.47,36.55,104.13
391,BR,Itarema,1569105152,76.91,0,80,11.39,-2.92,-39.92
392,CM,Elat,1569105153,69.17,93,99,2.98,2.91,11.16
393,RU,Mizur,1569105154,35.15,100,97,5.3,42.85,44.06
394,GH,Navrongo,1569105155,74.57,2,92,5.06,10.89,-1.09
395,PE,Pangoa,1569105156,70.79,100,96,0.87,-12.12,-73.0
396,BR,Benjamin Constant,1569105158,82.4,0,78,5.82,-4.38,-70.03
397,AU,Flinders,1569105159,64.99,33,45,5.82,-34.58,150.85
398,US,Tooele,1569104974,64.4,1,39,10.29,40.53,-112.3
399,PE,Junin,1569105161,59.0,40,44,10.29,-16.45,-71.58
400,PE,Chincha Alta,1569105162,71.6,0,30,5.82,-13.42,-76.13
401,LY,Misratah,1569105034,77.45,0,82,15.84,32.38,15.09
402,TZ,Tingi,1569105164,68.27,0,57,5.3,-11.3,35.03
403,CN,Fujin,1569105166,52.97,0,74,6.71,47.24,132.03
404,US,Kahului,1569105121,87.8,40,58,17.22,20.89,-156.47
405,MN,Mandalgovi,1569105168,56.57,26,37,2.93,45.76,106.27
406,VN,Ca Mau,1569105132,79.25,100,88,1.34,9.18,105.15
407,MX,Totolapan,1569105170,80.6,5,54,2.24,18.99,-98.92
408,EE,Vao,1569105171,45.95,92,85,12.68,59.1,26.19
409,ID,Sungaipenuh,1569105173,72.77,45,85,1.34,-2.08,101.38
410,AU,Alice Springs,1569105174,51.8,26,29,5.82,-23.7,133.88
411,MG,Sambava,1569105175,62.69,10,86,3.56,-14.27,50.17
412,CN,Yanliang,1569105176,60.01,0,100,2.24,34.66,109.22
413,LK,Kalmunai,1569105177,76.55,100,90,2.95,7.42,81.82
414,CA,Ucluelet,1569105179,64.99,90,100,8.05,48.94,-125.55
415,KZ,Temirtau,1569105180,51.8,0,53,4.47,50.05,72.96
416,PT,Belmonte,1569105181,62.01,83,83,5.46,40.36,-7.35
417,SO,Bosaso,1569105182,84.65,8,84,12.82,11.28,49.18
418,US,Bentonville,1569104946,84.99,75,61,12.75,36.37,-94.21
419,ID,Samarinda,1569105185,81.95,35,75,2.01,-0.5,117.14
420,GT,La Democracia,1569105186,61.61,11,96,1.9,15.63,-91.89
421,NO,Honningsvag,1569105187,39.2,75,86,16.11,70.98,25.97
422,JP,Shimoda,1569105188,73.0,38,78,1.99,34.7,138.93
423,CA,Hay River,1569105189,68.0,75,49,8.05,60.82,-115.79
424,GL,Ilulissat,1569105179,44.6,100,56,14.99,69.22,-51.1
425,BZ,Laguna,1569105192,87.8,20,66,6.93,16.17,-88.94
426,CH,Rheinau,1569105193,57.99,0,87,2.24,47.64,8.6
427,RU,Belyy Yar,1569105194,37.4,0,93,2.15,53.6,91.39
428,HT,Aquin,1569105195,80.51,84,78,4.14,18.28,-73.39
429,US,Morgan City,1569105196,86.0,0,70,6.44,29.7,-91.21
430,SE,Umea,1569105198,37.4,88,86,6.93,63.83,20.26
431,AE,Abu Dhabi,1569105017,87.8,0,84,12.55,24.47,54.37
432,CA,Fort Nelson,1569105200,68.0,75,52,3.36,58.81,-122.69
433,AU,Margate,1569105201,51.01,20,66,16.11,-43.03,147.26
434,VE,Cumana,1569105203,86.0,40,70,15.97,10.46,-64.17
435,JP,Iwanai,1569105204,60.35,100,71,5.88,42.97,140.51
436,RU,Tigil,1569105205,46.31,63,62,12.86,57.8,158.67
437,MR,Nouakchott,1569105206,82.4,0,78,11.41,18.08,-15.98
438,NL,Harlingen,1569105041,62.6,0,59,11.41,53.18,5.41
439,EC,Machala,1569105209,89.6,75,73,3.36,-3.26,-79.96
440,AO,Sumbe,1569105210,71.33,95,85,9.01,-11.2,13.84
441,PE,Huarmey,1569105211,60.89,100,92,13.91,-10.07,-78.15
442,FR,Souillac,1569105212,70.0,0,88,9.17,45.6,-0.6
443,PT,Mata,1569105213,62.01,68,92,5.26,40.68,-7.46
444,AR,Rio Cuarto,1569105215,66.2,0,22,5.82,-33.13,-64.35
445,ES,Cartagena,1569105216,77.0,0,94,5.82,37.63,-1.0
446,SN,Saint-Louis,1569105217,84.2,0,89,6.93,16.03,-16.5
447,RU,Solnechnyy,1569105218,53.51,0,74,0.87,50.72,136.64
448,US,Portland,1569105126,77.0,20,64,10.29,43.66,-70.25
449,PK,Kharan,1569105221,73.13,0,23,2.15,28.58,65.42
450,CL,Ancud,1569104632,48.2,90,70,3.36,-41.87,-73.83
451,ID,Manado,1569105212,71.6,20,94,1.12,1.49,124.85
452,BR,Santa Helena de Goias,1569105012,81.23,98,49,7.76,-17.81,-50.6
453,GR,Pella,1569105226,64.99,20,71,6.93,40.76,22.53
454,ET,Mandera,1569105227,76.01,41,65,16.69,3.94,41.86
455,CA,The Pas,1569105228,62.6,75,59,12.75,53.82,-101.24
456,MZ,Inhambane,1569105229,62.87,0,96,4.43,-23.87,35.38
457,CL,Mulchen,1569105230,60.8,0,51,17.22,-37.72,-72.23
458,RU,Novobiryusinskiy,1569105232,41.27,32,94,3.04,56.96,97.71
459,RU,Sangar,1569105233,33.35,100,96,17.4,63.92,127.47
460,US,Saint Anthony,1569105111,57.99,75,54,6.93,43.97,-111.68
461,CN,Erenhot,1569105235,61.07,0,37,6.87,43.65,111.97
462,US,North Bend,1569105236,77.0,1,73,14.99,43.41,-124.22
463,RU,Kapustin Yar,1569105238,48.65,73,55,7.85,48.58,45.77
464,DE,Hof,1569105239,55.99,1,71,4.03,50.32,11.92
465,PT,Peniche,1569105240,63.0,20,93,4.7,39.36,-9.38
466,NO,Tromso,1569105241,35.6,75,93,23.04,69.65,18.96
467,KZ,Sarkand,1569105243,66.47,0,25,5.3,45.41,79.91
468,TZ,Kilindoni,1569105244,77.63,0,77,9.98,-7.91,39.67
469,BR,Santa Luzia,1569105245,86.0,0,39,14.99,-19.77,-43.85
470,MG,Beloha,1569105246,69.17,0,61,10.31,-25.17,45.06
471,JP,Hasaki,1569105248,70.0,20,88,9.17,35.73,140.83
472,AU,Port Hedland,1569105249,66.2,0,11,12.75,-20.31,118.58
473,ZA,Plettenberg Bay,1569105250,55.49,100,86,11.63,-34.05,23.37
474,NG,Auki,1569105251,78.35,0,61,6.73,12.18,6.51
475,CA,Flin Flon,1569104670,60.8,75,55,9.17,54.77,-101.88
476,CA,Havre-Saint-Pierre,1569105254,50.0,20,81,14.99,50.23,-63.6
477,CA,Sept-Iles,1569105255,53.01,40,71,3.36,50.2,-66.38
478,IR,Fereydun Kenar,1569105256,73.4,90,94,9.17,36.69,52.52
479,NG,Hadejia,1569105257,83.93,29,40,6.49,12.45,10.04
480,ID,Banda Aceh,1569105258,82.13,97,73,4.72,5.56,95.32
481,AE,Sharjah,1569105260,89.6,0,79,6.93,25.36,55.39
482,ML,Taoudenni,1569105261,95.09,25,8,6.91,22.68,-3.98
483,GL,Sisimiut,1569105064,40.73,100,85,11.3,66.94,-53.67
484,HT,Gonaives,1569105264,87.8,75,62,11.41,19.45,-72.68
485,FR,Saint-Pierre,1569105265,66.99,0,63,12.75,48.95,4.24
486,PG,Kieta,1569105266,82.49,98,71,4.54,-6.22,155.63
487,RU,Demyanovo,1569105186,36.59,89,96,3.47,60.35,47.08
488,OM,Ibra,1569105269,71.87,1,61,2.17,22.69,58.55
489,IN,Gaya,1569105076,80.51,3,73,2.73,24.8,85.01
490,US,Pacifica,1569105178,86.0,1,28,8.05,37.61,-122.49
491,NE,Filingue,1569105275,90.95,12,29,9.91,14.35,3.32
492,SA,Turayf,1569105276,75.2,0,27,11.41,31.68,38.65
493,CN,Xining,1569105277,40.73,9,66,3.0,36.62,101.77
494,CN,Yuanping,1569105279,57.11,0,51,2.46,38.72,112.71
495,RU,Severo-Kurilsk,1569105280,47.75,48,82,15.03,50.68,156.12
496,CN,Gamba,1569105281,33.71,82,78,1.36,28.28,88.52
497,PG,Kerema,1569105282,78.35,100,84,2.8,-7.96,145.78
498,ES,Aviles,1569105038,64.99,40,77,9.17,43.55,-5.92
499,NO,Varhaug,1569105066,53.01,9,100,3.36,58.61,5.65
500,US,Garland,1569105060,93.2,40,46,11.41,32.91,-96.64
501,RU,Svetlogorsk,1569105287,41.0,90,100,4.47,53.14,59.15
502,RU,Loukhi,1569105288,38.57,77,81,11.61,66.08,33.04
503,RU,Shugurovo,1569105289,34.61,0,91,1.77,54.51,52.13
504,PE,Paita,1569105290,62.6,75,290,10.29,-5.09,-81.11
505,BN,Limbang,1569105292,82.4,75,88,2.24,4.75,115.01
506,CA,Goderich,1569105293,81.0,15,77,14.61,43.74,-81.71
507,RU,Palana,1569105294,43.97,73,77,17.98,59.08,159.95
508,NI,San Ramon,1569105295,71.6,75,100,1.72,12.92,-85.84
509,ZM,Choma,1569105297,62.15,0,35,4.52,-16.81,26.98
510,TZ,Matai,1569105298,62.6,0,48,4.7,-8.3,31.52
511,TD,Adre,1569105299,77.09,94,69,5.19,13.47,22.2
512,RU,Srednekolymsk,1569105301,34.25,39,54,4.94,67.46,153.71
513,CF,Zemio,1569105302,67.55,100,93,0.83,5.02,25.13
514,US,Storm Lake,1569105303,80.6,75,83,5.82,42.64,-95.21
515,SA,Faya,1569105305,64.4,0,17,0.76,18.39,42.45
516,CN,Tahe,1569105306,51.53,2,73,4.59,52.34,124.71
517,GB,Blackwater,1569105307,66.99,100,72,4.7,51.33,-0.78
518,RU,Zhigansk,1569105308,40.37,100,92,16.51,66.77,123.37
519,NG,Yaan,1569105309,74.39,44,90,4.52,7.38,8.57
520,CN,Juegang,1569105310,69.01,100,89,34.05,32.31,121.18
521,RU,Baykit,1569105312,36.05,99,95,10.83,61.68,96.39
522,CM,Manjo,1569105313,69.17,76,96,2.15,4.85,9.82
523,GQ,Ebebiyin,1569105314,67.91,87,99,2.66,2.15,11.34
524,UY,Maldonado,1569105315,62.6,0,48,14.99,-34.91,-54.96
525,IN,Kavaratti,1569105317,81.59,50,78,8.95,10.57,72.64
526,CN,Genhe,1569105318,48.47,8,81,4.23,50.78,121.52
527,RU,Anadyr,1569105319,35.6,20,64,17.9,64.73,177.51
528,FR,Gap,1569105320,59.0,100,77,1.01,44.56,6.08
529,RW,Kibaya,1569105322,65.75,25,63,2.04,-2.2,30.56
530,NC,Fayaoue,1569105323,72.41,91,72,24.58,-20.65,166.53
531,RU,Leshukonskoye,1569105324,29.21,19,97,4.12,64.9,45.76
532,ZW,Bulawayo,1569105325,58.19,0,31,5.41,-20.16,28.59
533,CA,Charlottetown,1569105326,53.01,40,76,2.24,46.23,-63.13
534,ID,Nabire,1569105328,74.75,98,75,3.0,-3.36,135.5
535,EC,Pedernales,1569105329,72.77,95,85,10.2,0.07,-80.05
536,CN,Jiazi,1569105330,78.8,0,65,6.71,19.61,110.49
537,AR,Comodoro Rivadavia,1569105305,60.8,40,31,8.05,-45.87,-67.48
538,FR,Saint-Joseph,1569105332,64.99,96,93,4.7,43.56,6.97
539,BA,Gacko,1569105333,53.6,0,58,2.24,43.17,18.53
540,AU,Mount Isa,1569105335,64.4,0,27,14.99,-20.73,139.49
541,AU,Clarence Town,1569105336,66.99,70,88,6.93,-32.59,151.78
542,RU,Arman,1569105337,41.09,100,97,3.36,59.7,150.17
543,US,Sitka,1569105338,86.0,6,53,17.0,37.17,-99.65
544,RU,Askiz,1569105339,42.71,65,77,2.55,53.13,90.53
545,BR,Touros,1569105093,75.2,40,78,12.75,-5.2,-35.46
546,UA,Lyubech,1569105342,53.51,100,93,15.39,51.7,30.66
547,RU,Noyabrsk,1569105343,32.45,18,87,10.09,63.2,75.45
548,IE,Ballina,1569105344,61.0,100,93,11.99,54.11,-9.15
549,BR,Catanduva,1569105345,87.8,0,45,6.93,-21.13,-48.97
550,AU,Port Lincoln,1569105346,55.13,86,70,20.76,-34.72,135.86
551,US,Harper,1569105348,91.4,75,46,13.87,30.3,-99.24
552,US,Havelock,1569105349,80.6,1,47,8.05,34.88,-76.9
553,RU,Nogliki,1569105350,56.21,87,76,14.7,51.8,143.14
554,BR,Imbituba,1569105351,62.6,75,77,3.36,-28.24,-48.67
